SampleNo,Timepoint,Group,Rep,VFA,umol_g
1,3,1,1,Acetate,34.4740909090909
2,3,1,2,Acetate,32.373
3,3,1,3,Acetate,24.2147368421053
4,3,1,4,Acetate,61.8471428571429
5,3,1,5,Acetate,40.0010869565217
6,3,2,1,Acetate,46.1892857142857
7,3,2,2,Acetate,33.3578571428571
8,3,2,3,Acetate,22.5529411764706
9,3,2,4,Acetate,24.84
10,3,2,5,Acetate,13.4754545454545
11,6,1,1,Acetate,50.13
12,6,1,2,Acetate,46.332
13,6,1,3,Acetate,35.586
14,6,1,4,Acetate,50.0155714285714
15,6,1,5,Acetate,40.0009090909091
16,6,2,1,Acetate,21.1110810810811
17,6,2,2,Acetate,16.5410526315789
18,6,2,3,Acetate,341.685
19,6,2,4,Acetate,28.296
20,6,2,5,Acetate,12.8804210526316
1,3,1,1,Butyrate,0.130118181818182
2,3,1,2,Butyrate,0.07707
3,3,1,3,Butyrate,0.0402734210526316
4,3,1,4,Butyrate,0.0281366666666667
5,3,1,5,Butyrate,0.0423645652173913
6,3,2,1,Butyrate,0.0314571428571429
7,3,2,2,Butyrate,0.0107478571428571
8,3,2,3,Butyrate,0.0207247058823529
9,3,2,4,Butyrate,0.009909
10,3,2,5,Butyrate,0.0240218181818182
11,6,1,1,Butyrate,0.038535
12,6,1,2,Butyrate,0.0335805
13,6,1,3,Butyrate,0.033764
14,6,1,4,Butyrate,0.0199752857142857
15,6,1,5,Butyrate,0.03303
16,6,2,1,Butyrate,0.00714162162162162
17,6,2,2,Butyrate,0.00985105263157894
18,6,2,3,Butyrate,
19,6,2,4,Butyrate,0.041838
20,6,2,5,Butyrate,0.0639738947368421
1,3,1,1,Hexanoate,0.00885477272727273
2,3,1,2,Hexanoate,0
3,3,1,3,Hexanoate,0.008325
4,3,1,4,Hexanoate,0.00367357142857143
5,3,1,5,Hexanoate,0.00448826086956522
6,3,2,1,Hexanoate,0.0174825
7,3,2,2,Hexanoate,0.0102675
8,3,2,3,Hexanoate,0.01998
9,3,2,4,Hexanoate,0.01057275
10,3,2,5,Hexanoate,0.00766909090909091
11,6,1,1,Hexanoate,0.01776
12,6,1,2,Hexanoate,0.00790875
13,6,1,3,Hexanoate,0.008769
14,6,1,4,Hexanoate,0.00180771428571429
15,6,1,5,Hexanoate,0.00605454545454545
16,6,2,1,Hexanoate,0.0054
17,6,2,2,Hexanoate,0.00420631578947368
18,6,2,3,Hexanoate,0.021645
19,6,2,4,Hexanoate,0.04329
20,6,2,5,Hexanoate,0.00175263157894737
1,3,1,1,Isobutyrate,0.129054545454545
2,3,1,2,Isobutyrate,0.131586
3,3,1,3,Isobutyrate,0.0958373684210526
4,3,1,4,Isobutyrate,0.0921266666666667
5,3,1,5,Isobutyrate,0.11193
6,3,2,1,Isobutyrate,0.05616
7,3,2,2,Isobutyrate,0.06825
8,3,2,3,Isobutyrate,0.0449647058823529
9,3,2,4,Isobutyrate,0.04914
10,3,2,5,Isobutyrate,0.0792527272727273
11,6,1,1,Isobutyrate,0.111475
12,6,1,2,Isobutyrate,0.06552
13,6,1,3,Isobutyrate,0.084084
14,6,1,4,Isobutyrate,0.09633
15,6,1,5,Isobutyrate,0.113005454545455
16,6,2,1,Isobutyrate,0.0461886486486486
17,6,2,2,Isobutyrate,0.0533547368421053
18,6,2,3,Isobutyrate,1.1841375
19,6,2,4,Isobutyrate,0.084084
20,6,2,5,Isobutyrate,0.125177684210526
1,3,1,1,Isovalerate,0.101781272727273
2,3,1,2,Isovalerate,0.0840294
3,3,1,3,Isovalerate,0.071736
4,3,1,4,Isovalerate,0.071022
5,3,1,5,Isovalerate,0.0786376956521739
6,3,2,1,Isovalerate,0.052212
7,3,2,2,Isovalerate,0.048013
8,3,2,3,Isovalerate,0.0360508235294118
9,3,2,4,Isovalerate,0.0396606
10,3,2,5,Isovalerate,0.0545541818181818
11,6,1,1,Isovalerate,0.0939645
12,6,1,2,Isovalerate,0.0517902
13,6,1,3,Isovalerate,0.0758632
14,6,1,4,Isovalerate,0.0697908
15,6,1,5,Isovalerate,0.08113
16,6,2,1,Isovalerate,0.0406332972972973
17,6,2,2,Isovalerate,0.036918
18,6,2,3,Isovalerate,0.597702
19,6,2,4,Isovalerate,0.049476
20,6,2,5,Isovalerate,0.0544824
1,3,1,1,Propionate,3.95604545454546
2,3,1,2,Propionate,3.29238
3,3,1,3,Propionate,1.54452631578947
4,3,1,4,Propionate,2.67298095238095
5,3,1,5,Propionate,3.3488347826087
6,3,2,1,Propionate,0.450814285714286
7,3,2,2,Propionate,0.265128571428571
8,3,2,3,Propionate,0.196270588235294
9,3,2,4,Propionate,0.19095
10,3,2,5,Propionate,0.239981818181818
11,6,1,1,Propionate,2.3986
12,6,1,2,Propionate,2.12859
13,6,1,3,Propionate,3.27496
14,6,1,4,Propionate,2.25234857142857
15,6,1,5,Propionate,3.61190909090909
16,6,2,1,Propionate,0.186875675675676
17,6,2,2,Propionate,0.193947368421053
18,6,2,3,Propionate,3.743625
19,6,2,4,Propionate,0.27336
20,6,2,5,Propionate,0.664357894736842
1,3,1,1,Valerate,0.0175568181818182
2,3,1,2,Valerate,0
3,3,1,3,Valerate,0.00483552631578947
4,3,1,4,Valerate,0.00363095238095238
5,3,1,5,Valerate,0.00692934782608696
6,3,2,1,Valerate,0.00241071428571429
7,3,2,2,Valerate,0.00553571428571429
8,3,2,3,Valerate,0.00705882352941176
9,3,2,4,Valerate,0.003
10,3,2,5,Valerate,0.00545454545454545
11,6,1,1,Valerate,0.0159375
12,6,1,2,Valerate,0.01275
13,6,1,3,Valerate,0
14,6,1,4,Valerate,0.004125
15,6,1,5,Valerate,0.0075
16,6,2,1,Valerate,0.00253378378378378
17,6,2,2,Valerate,0.00407894736842105
18,6,2,3,Valerate,0.0440625
19,6,2,4,Valerate,0.0165
20,6,2,5,Valerate,0.00296052631578947
1,4,1,1,Acetate,37.7331666666667
2,4,1,2,Acetate,38.685947368421
3,4,1,3,Acetate,39.3710454545455
4,4,1,4,Acetate,52.3777894736842
5,4,1,5,Acetate,38.8784
6,4,2,1,Acetate,20.6960487804878
7,4,2,2,Acetate,20.5284489795918
8,4,2,3,Acetate,15.6098571428571
9,4,2,4,Acetate,25.4450769230769
10,4,2,5,Acetate,14.2327058823529
1,4,1,1,Butyrate,0.0446816666666667
2,4,1,2,Butyrate,0.05916
3,4,1,3,Butyrate,0.0218025
4,4,1,4,Butyrate,0.418965
5,4,1,5,Butyrate,0.017442
6,4,2,1,Butyrate,0.00756292682926829
7,4,2,2,Butyrate,0.00415285714285714
8,4,2,3,Butyrate,0.0235328571428571
9,4,2,4,Butyrate,0.00372692307692308
10,4,2,5,Butyrate,0.08113
1,4,1,1,Hexanoate,0.00602633333333333
2,4,1,2,Hexanoate,0.00229642105263158
3,4,1,3,Hexanoate,0.00231381818181818
4,4,1,4,Hexanoate,0.00539021052631579
5,4,1,5,Hexanoate,0.012928
6,4,2,1,Hexanoate,0.00750848780487805
7,4,2,2,Hexanoate,0.00395755102040816
8,4,2,3,Hexanoate,0.012726
9,4,2,4,Hexanoate,0.0200446153846154
10,4,2,5,Hexanoate,0.00387364705882353
1,4,1,1,Isobutyrate,0.17028
2,4,1,2,Isobutyrate,0.0578368421052632
3,4,1,3,Isobutyrate,0.113535
4,4,1,4,Isobutyrate,0.127553684210526
5,4,1,5,Isobutyrate,0.104544
6,4,2,1,Isobutyrate,0.0580960975609756
7,4,2,2,Isobutyrate,0.113102448979592
8,4,2,3,Isobutyrate,0.0725528571428571
9,4,2,4,Isobutyrate,0.0424938461538462
10,4,2,5,Isobutyrate,0.124623529411765
1,4,1,1,Isovalerate,0.0927746666666667
2,4,1,2,Isovalerate,0.039210947368421
3,4,1,3,Isovalerate,0.0766298181818182
4,4,1,4,Isovalerate,0.100410947368421
5,4,1,5,Isovalerate,0.0676192
6,4,2,1,Isovalerate,0.0508109268292683
7,4,2,2,Isovalerate,0.0797848163265306
8,4,2,3,Isovalerate,0.0477942857142857
9,4,2,4,Isovalerate,0.0420553846153846
10,4,2,5,Isovalerate,0.064048
1,4,1,1,Propionate,3.03599166666667
2,4,1,2,Propionate,1.94782894736842
3,4,1,3,Propionate,2.62425681818182
4,4,1,4,Propionate,4.20840789473684
5,4,1,5,Propionate,1.75696
6,4,2,1,Propionate,0.150526829268293
7,4,2,2,Propionate,0.354875510204082
8,4,2,3,Propionate,0.142971428571429
9,4,2,4,Propionate,0.0898153846153846
10,4,2,5,Propionate,0.359764705882353
1,4,1,1,Valerate,0.00922916666666667
2,4,1,2,Valerate,0.00608542105263158
3,4,1,3,Valerate,0.003987
4,4,1,4,Valerate,0.00615536842105263
5,4,1,5,Valerate,0.0092144
6,4,2,1,Valerate,0.00453804878048781
7,4,2,2,Valerate,0.00423110204081633
8,4,2,3,Valerate,0.0205045714285714
9,4,2,4,Valerate,0.0177881538461538
10,4,2,5,Valerate,0.00484694117647059
1,2,1,1,Acetate,50.5051235294118
2,2,1,2,Acetate,55.0779157894737
3,2,1,3,Acetate,50.304
4,2,1,4,Acetate,56.9957181818182
5,2,1,5,Acetate,64.8276348837209
6,2,2,1,Acetate,25.5490307692308
7,2,2,2,Acetate,19.0489975609756
8,2,2,3,Acetate,12.98865
9,2,2,4,Acetate,60.9002625
10,2,2,5,Acetate,55.638975
1,2,1,1,Butyrate,0.050964705882353
2,2,1,2,Butyrate,3.41601
3,2,1,3,Butyrate,0.023826
4,2,1,4,Butyrate,0.0257950909090909
5,2,1,5,Butyrate,2.76542790697674
6,2,2,1,Butyrate,0.0174946153846154
7,2,2,2,Butyrate,0.0103017073170732
8,2,2,3,Butyrate,0.0208864285714286
9,2,2,4,Butyrate,0.0189525
10,2,2,5,Butyrate,0.034295
1,2,1,1,Hexanoate,0.003892
2,2,1,2,Hexanoate,0.00509178947368421
3,2,1,3,Hexanoate,0.00590948571428571
4,2,1,4,Hexanoate,0.00418516363636364
5,2,1,5,Hexanoate,0.00523674418604651
6,2,2,1,Hexanoate,0.00564553846153846
7,2,2,2,Hexanoate,0.00598039024390244
8,2,2,3,Hexanoate,0.0209691428571429
9,2,2,4,Hexanoate,0.013483
10,2,2,5,Hexanoate,0.00676466666666667
1,2,1,1,Isobutyrate,0.0995894117647059
2,2,1,2,Isobutyrate,0.0785715789473684
3,2,1,3,Isobutyrate,0.122955428571429
4,2,1,4,Isobutyrate,0.068388
5,2,1,5,Isobutyrate,0.227701395348837
6,2,2,1,Isobutyrate,0.0699276923076923
7,2,2,2,Isobutyrate,0.0591936585365854
8,2,2,3,Isobutyrate,0
9,2,2,4,Isobutyrate,0.0761025
10,2,2,5,Isobutyrate,0.104018333333333
1,2,1,1,Isovalerate,0.209980588235294
2,2,1,2,Isovalerate,0.103841052631579
3,2,1,3,Isovalerate,0.261417428571429
4,2,1,4,Isovalerate,0.146632909090909
5,2,1,5,Isovalerate,0.0651983720930232
6,2,2,1,Isovalerate,0.191665384615385
7,2,2,2,Isovalerate,0.145935365853659
8,2,2,3,Isovalerate,0.123735
9,2,2,4,Isovalerate,0.18574375
10,2,2,5,Isovalerate,0.194171666666667
1,2,1,1,Propionate,1.2051
2,2,1,2,Propionate,2.15005263157895
3,2,1,3,Propionate,1.85567142857143
4,2,1,4,Propionate,1.95116727272727
5,2,1,5,Propionate,2.14449069767442
6,2,2,1,Propionate,0.203607692307692
7,2,2,2,Propionate,0.251890243902439
8,2,2,3,Propionate,0.167207142857143
9,2,2,4,Propionate,0.3002625
10,2,2,5,Propionate,0.36465
1,2,1,1,Valerate,0.00831117647058824
2,2,1,2,Valerate,0.02985
3,2,1,3,Valerate,0.0117694285714286
4,2,1,4,Valerate,0.00944345454545454
5,2,1,5,Valerate,0.0137448837209302
6,2,2,1,Valerate,0.00765384615384615
7,2,2,2,Valerate,0.0093190243902439
8,2,2,3,Valerate,0.0473335714285714
9,2,2,4,Valerate,0.0233825
10,2,2,5,Valerate,0.00928666666666667
1,2,3,1,Acetate,55.2410906989164
2,2,3,2,Acetate,10.1523521600133
3,2,3,4,Acetate,128.354026166648
4,2,3,5,Acetate,29.0949638093607
5,3,3,1,Acetate,52.2514885879861
6,3,3,2,Acetate,142.222812734411
7,3,3,4,Acetate,275.812963759404
8,3,3,5,Acetate,210.008574346053
9,4,3,1,Acetate,104.094103075183
10,4,3,3,Acetate,57.2755612300622
11,4,3,4,Acetate,40.2125574809862
12,6,3,1,Acetate,68.409574348081
13,6,3,2,Acetate,52.3750348696946
14,6,3,4,Acetate,71.0393490557246
15,6,3,5,Acetate,53.5513640084753
1,2,3,1,Propionate,0.156732213786262
2,2,3,2,Propionate,0.0582362515533271
3,2,3,4,Propionate,0.329339903717015
4,2,3,5,Propionate,0.0222737182957821
5,3,3,1,Propionate,0.104415135167253
6,3,3,2,Propionate,0.0475466412786776
7,3,3,4,Propionate,0.165485041457125
8,3,3,5,Propionate,0.0397813094371228
9,4,3,1,Propionate,-0.201512512906363
10,4,3,3,Propionate,-0.0080085988818198
11,4,3,4,Propionate,-0.00847469590953794
12,6,3,1,Propionate,0.0146709838711684
13,6,3,2,Propionate,-0.0941440902235965
14,6,3,4,Propionate,-0.266208387594151
15,6,3,5,Propionate,0.0974790113421977
1,2,3,1,Isobutyrate,0.0145015251406119
2,2,3,2,Isobutyrate,0.0088225795037533
3,2,3,4,Isobutyrate,0.0175340989797684
4,2,3,5,Isobutyrate,0.00233741492839564
5,3,3,1,Isobutyrate,0.00475727473756068
6,3,3,2,Isobutyrate,-0.00369219237731817
7,3,3,4,Isobutyrate,0.00663707826076837
8,3,3,5,Isobutyrate,0.0248500175975717
9,4,3,1,Isobutyrate,0.0599704701850201
10,4,3,3,Isobutyrate,0.0238826068334297
11,4,3,4,Isobutyrate,0.0114060245666631
12,6,3,1,Isobutyrate,0.0176524471374953
13,6,3,2,Isobutyrate,0.0645959512538542
14,6,3,4,Isobutyrate,0.0588891822145054
15,6,3,5,Isobutyrate,0.0470902854596712
1,2,3,1,Butyrate,0.0440144589769856
2,2,3,2,Butyrate,0.0234993947505211
3,2,3,4,Butyrate,0.0526201162215935
4,2,3,5,Butyrate,0.0246437397952846
5,3,3,1,Butyrate,0.0311272298344285
6,3,3,2,Butyrate,0.0323001903625398
7,3,3,4,Butyrate,0.0634047228881296
8,3,3,5,Butyrate,0.158521410045661
9,4,3,1,Butyrate,0.145433777872354
10,4,3,3,Butyrate,-0.00691462181093794
11,4,3,4,Butyrate,-0.0374549588624761
12,6,3,1,Butyrate,-0.0912830537614358
13,6,3,2,Butyrate,-0.00457136161616167
14,6,3,4,Butyrate,-0.116620946852713
15,6,3,5,Butyrate,-0.0485096012430437
1,2,3,1,Isovalerate,0.0197266675208241
2,2,3,2,Isovalerate,0.00891684078663314
3,2,3,4,Isovalerate,0.0390521171035005
4,2,3,5,Isovalerate,0.0110217799534431
5,3,3,1,Isovalerate,0.0174702854800095
6,3,3,2,Isovalerate,0.038715930263
7,3,3,4,Isovalerate,0.0616413267710536
8,3,3,5,Isovalerate,0.056233678219733
9,4,3,1,Isovalerate,0.194953998784978
10,4,3,3,Isovalerate,0.12275012089493
11,4,3,4,Isovalerate,0.0563538923686724
12,6,3,1,Isovalerate,0.111040045983501
13,6,3,2,Isovalerate,0.12540142623514
14,6,3,4,Isovalerate,0.190295178068507
15,6,3,5,Isovalerate,0.165696001124163
